"record_id","sell","price_usd","kilometers","miles","year","maker","model"
35302,0,12100.,39807,24735.,2005.,"Toyota","Corolla"
35303,0,9100.,39807,24735.,2005.,"Toyota","Corolla"
35500,1,2302.3,172662,107287.,1994.,"Toyota","Corolla"
35549,1,2150.,223942,139151.,1985.,"Toyota","Corolla"
35576,1,4350.,158475,98472.,1999.,"Toyota","Corolla"
35597,1,7400.,163559,101631.,2004.,"Toyota","Corolla"
35598,1,1975.,238110,147955.,1997.,"Toyota","Corolla"
35649,0,560.,201168,125000.,1979.,"Toyota","Corolla"
35740,0,11651.01,7482,4649.,2006.,"Toyota","Corolla"
35832,1,1301.,21288,13228.,1979.,"Toyota","Corolla"
36164,1,11001.,30578,19000.,2004.,"Toyota","Corolla"
36256,0,8900.,205996,128000.,2005.,"Toyota","Corolla"
36265,1,5200.,16044,9969.,2005.,"Toyota","Corolla"
36284,1,4500.,321869,200000.,1985.,"Toyota","Corolla"
36329,1,710.,160934,100000.,1994.,"Toyota","Corolla"
36650,1,1625.,122310,76000.,1980.,"Toyota","Corolla"
36991,1,1825.,245808,152738.,1994.,"Toyota","Corolla"
37031,1,1406.,349228,217000.,1995.,"Toyota","Corolla"
37050,0,8900.,109435,68000.,2003.,"Toyota","Corolla"
37348,1,4000.,168833,104908.,2000.,"Toyota","Corolla"
37366,1,3000.,205626,127770.,2000.,"Toyota","Corolla"
37368,1,1525.,282742,175688.,1995.,"Toyota","Corolla"
37373,1,2375.,194745,121009.,1998.,"Toyota","Corolla"
37379,1,2000.,188490,117122.,1995.,"Toyota","Corolla"
37384,1,3650.,245153,152331.,2001.,"Toyota","Corolla"
37385,1,1425.,239205,148635.,1993.,"Toyota","Corolla"
37387,1,3050.,136516,84827.,1997.,"Toyota","Corolla"
37393,1,6500.,240090,149185.,2003.,"Toyota","Corolla"
37403,1,3000.,140156,87089.,2001.,"Toyota","Corolla"
37409,1,830.,359325,223274.,1994.,"Toyota","Corolla"
37414,1,2800.,144452,89758.,1997.,"Toyota","Corolla"
37422,1,2672.,106629,66256.,1999.,"Toyota","Corolla"
37423,1,1700.,209796,130361.,1994.,"Toyota","Corolla"
37426,1,2300.,259201,161060.,1998.,"Toyota","Corolla"
37429,1,6500.,156414,97191.,2003.,"Toyota","Corolla"
37511,0,100.,243011,151000.,1977.,"Toyota","Corolla"
